tweets,class
obama is having a debate around the corner from my gaf security is crazy,0
obama reminds me of my 4 kids the other one did it what an ego he has,-1
obama walked to a short debate prep session this morning with advisers anita dunn and david plouffe told reporters he's feeling fabulous,0
looks like obama may need two good debates now if he is to assure victory,0
here ya go romney lovers whats crazy is i had no idea he was so evil towards women fucking stand up for what is right,0
liberals were depressed after obama's debate which is tough bcuz if u lock urself in a garage w a running priusnothing happens b maher,0
vote obama,1
obama won't make eye contact debatepredictions,0
if obama don't win it's gonna be lotta more sin the lack of money is the root of all evil inspire insta,0
townhallquestions mr obama why is it someone else had to help your brother in kenya why do so many others have to do yur job,-1
join me in supporting support president obama's agenda via,1
president obama need to understand after he win his second term n the white house u can't b too nice 2 these republicans anymore,0
japan set to become biggest foreign creditor think they forgot about us nuking them obama is giving us to our enemies romney debate,-1
and i'm barack obama go fk yourself america,-1
if i were amerian i would vote for obama,1
i highly doubt that after barack we won't have another black president for a very long time,0
i hate the fact that people feel every black person should support obama simply because he's black,0
pshh go on somewhere with that obama shit,-1
obama's mentor as a teen and young adult was frank marshall davis look up that name real quick sketchybusiness,0
obama2012world rt only 18 of israelis think obama favors israel over the palestinians,-1
a very dirty &amp; incestuous relationship exists between obama &amp; clinton's',-1
our future is in our own hands don't let that white mother fucka win vote obama,1
koch brothers threaten to fire employees if obama wins rt via,0
obama needs a great performance he could flip back va and co or lose oh tonight this is where i have the race,0
what war the one on women i thought obama ended the war on terror wasn't fort hood shooting just workplace violence,-1
last campaign obama had yes we can change,0
this is an amazing list of obama's economic failures note one type dropped a zero on median home price in detroit,-1
i predict that obama will channel joe in debate and will fall even further in polls,0
hillary is just another bump in the road under the obama runaway bus,-1
susan rice no my comments about the video weren't influenced by obama campaign teaparty tcot resist44,0
i have tremendous faith in pres obama he's not let me in particular down once i'll always have his back no matter what,1
acspollen genius obama's changes you have to watch this comedygold tcot this is great,0
obama &amp; biden keep saying we're more respected in the world but we can't get n korea to the table come on,-1
sheesh lying is all he can do right obama falsely claim we got back every dime of bailout money on same day cbo reports 24 billion loss,-1
rt every grandparent who has an obama sticker on their car ought to have an i hate my grandkids sticker just underneath it,-1
no matter which way obama attempts 2 bloviate out of it tonight he has baggage &amp; americans are living it can not talk his way out of that,-1
and tonights debate isn't going to help obama in any way,0
obama is the actual safest,0
obama may not be a socialist in the strict dictionary definition but he is sure heading the country in that direction is that what we want,-1
obama tonight i wanna see less king and more malcolm debate,0
how obama's fuel standards are shaping the future of transportation 1022450500,0
thanks obama for no classes today,1
i won't believe it's real until ross produces supporting charts rt ross perot endorses mitt romney for president,0
now obama's 2008 promises remind me of the high school kid running for class president who will put a coke machine in the cafeteria,-1
showed picture of obama to my yr 1 class lots knew name but none knew what he did could all name one direction but didn't know olympians,0
he is not a man with strong personal or professional convictions is resume builder don't pimp america go on cruise,0
barack down wit the tits obama2012,0
i banned cnn in my house a long time ago this proves why cnn host goes to battle for obama,0
romney or obama obama o b a m a,1
80 of green energy loans went to obama donors a123 at least 19 of these green energy companies went bust tcot,-1
kareen obama can't win again white people will be furious that's just asking for his kids to get kidnapped,-1
the only way obamadem's can win is fraud voter fraud is the way to america's destruction chuck norris page 1,-1
go obama hoy nos desquitamos,0
obama gettin my vote just cause hes black and idgaf,1
if obama can do it so can i,0
rt just 21 days until election day rt if you're ready to cheer on president obama in tonight's debate teamobamabiden,1
armed forces show overwhelming support for obama opensecrets blog opensecrets,1
president obama what are some of the policies over the last 4 years that were blocked by congress that could have helped,-1
obama will try to bend town hall debate format to his advantage,0
debatepredictions big bird won't save obama from looking like a total embarrassment in regards to the benghazi coverup,-1
something we all knew obama doesn't really like people this is why he can throw people under the bus so easily,-1
top 5 reasons via you tube clearly states the agenda of obama,0
i love how the polls are reported by the news when obama was in the lead they were saying how important they were and now,0
senate hopeful thompson's son says send obama back to kenya yahoo news via,-1
if everyone was able to vote for obama vs romney and you chose to vote for romney i would never speak to you again,1
obama had to okay hillaryclinton going on air to take responsibility bottom line if he had any loyalty to her he wouldn't have agreed,-1
and when you are justifying actions of the world's most dreaded terrorist obama you are taking side of terrorism fail,-1
if i ever have kids i will tell them how barack obama was a terrible president,-1
obama is 10 mins away driving thru li won't be a good look on this day,0
obama will lose the debate tonight lies cover ups and no leadership will do him in again,-1
today in 2008 barack obama misled in debate on born alive infants protection act abortion prolife,-1
scholastic news has obama winning again they've only been wrong in 2 elections but has been right since nixon,0
i hope ppl are smarter than im voting for the obama cuz hes black do u knw why u r voting for the black guy or u just are,0
some may feel like obama has this in the bag especially in md but never get comfortable not until every last damn vote is accounted for,0
the obama puppet will perform for you for the 10 top obama conspiracy videos at,-1
wrong reagan and jfk did it and reagan inherited a worse economy than obama did,0
reporter are you aware michelle voted for you yesterday obama turning to yell back thank goodness,0
obama delivered pizza to volunteer campaign workers this weekend he's obviously preparing for life in the private sector,-1
i voted for president obama last time around and im very disappointed in his job hes been a pisspoor president thanks,-1
obama will unleash his alter ego superpimp for the debatelast time he forgot his pimp cane and hat and held back superpimp,0
hey obama suck my ass too,-1
smart women know when obama said his policies would cause energy prices to skyrocket he meant it,-1
getting excited for obama's visit tomorrow then read this,0
rt i would like to reiterate that can answer anything obama says tomorrow with libya and 16 trillion debateprep,-1
can obama find an intelligence patsy to take blame for bogus video excuse for benghazi attack tcot p2 obama lies,-1
the closer it gets to the election the more obama wants to prove that he will fight for,0
former aide on obama 'stunning that hes in politics because he really doesnt like people' via ouch,-1
shes trying to take flak for obama since he's trying to get reelected,-1
so obama promises to cut the deficit spend a bunch of money on education and green energy and create jobs where have i heard this before,-1
good luck obama drink a bit of what biden drank last week,1
hello under bush 3000 americans killed by al quada on american soil under obama 4 americans killed in libya next question,0
taxes are ridiculous my 87500 monthly paycheck is whittled down to 54425 i'd like to tell obama what i told kevin rogers,0
who is terrorist syria us ows obama,0
obama is too fine,1
people love to say you only voting for obama cause he is blackwell you only voting against him bc he is black thenlol,0
rt wi gop mailer obama didn't build that comment means he believes government builds businesses false,0
celebrities help obama make his closing argument,0
i love when people are so passionate about politics obama is gonna fuck up this country i'm all like dude let me eat my burrito in peace,0
not true murray obama is lying about mitt even the liberal media have called him on it in reality it's obama raising taxes,-1
very obama,0
yes i think he will come out against obama really start to look for leak docs if obama made a deal with hillary it will be like,0
haha my doctor is one cool ass dude swear he was just talking shit on my mom and for being obama supporters lmao,0
fuck communism fuck fdr fuck obama,-1
dear president obama why don't you stop by my house on your way back from hofstra i've got a few suggestions for you,0
i feel fabulous look at this beautiful day president obama when asked how he was feeling about tonight per pool,0
is absolutely right it will be a nightmare for if obama is reelected,-1
prediction no matter what happens in tonight's debate obama will be pronounced winner progmedia stories have already been written tcot,0
most politicians fail but obama mr hhsmandate where do you get yr info guttmacher prochoice prolife,0
why obama is likely to blow the second debate too,-1
how bad is obama's economy our gdp growth is worse than cuba unemployment,-1
i hope obama shows up this time so the left won't have to make excuses like the altitude or race as the reason why teleprompterman failed,-1
uninstalling obama 95 complete thankgod tcot debate rr2012 p2 obama2012,-1
the president needs to channel a little biden for tonight's debate he needs to go from obama to o'bama,0
obama it is not about being aggressive it is about connecting tonight people will be watching to see if you are engaged at all debate,0
misanthrope obamaformer aide on obama'stunning that hes in politics because he really doesnt like people',-1
join me in supporting support president obama and senate democrats via,1
you mean you didn't get an obamastarbucks card,0
i certainly hope government transparency comes up tonight does anyone believe the obama admin has been transparent,-1
obama's got 99 problems via,0
h ross perot we can't afford obama the des moines register romneyryan2012 nobama obamaisntworking,-1
on youtube you can skip obama's ad's but not romney's how foul is that,0
rt 1 obama loves america like oj loved nicole obama2012 tcot,-1
america if you don't want obama can the uk pls have him we can look after him,0
nooo sad rt they shot a school girl on the head for supporting obama eish,0
obama doubles down on deceit fraudlying coverup by invoking exec privilege,-1
this is sweet obama and his crew have no issues with stabbing this baby in the head and killing it wakeupamerica,-1
yes obama plan is full of details as soon as we see a plan,-1
u already know one black people get in they take take over just look at sports same thing with the office obama for 4 more years,1
what president obama and his jobs council are doing to create jobs republicans have stood and blocked pbo jobs plan,1
obama endorses failed oneway streets and mindsets,-1
obama sorta already has it it's not a hood voice at all,0
obama is great at math he divides the country subtracts jobs adds debt &amp; multiplies misery,-1
hillary fell on the sword for obama or did she tcot benghazi 3amphonecall,0
hillary falls on the swordbut buck stops on obama's desk o that's right he was in las vegas at a fund raiser the day after 4 people died,-1
i find it pretty cool that obama is visiting little ole athens ohio and ohio university no one's heard of athens on my tl probably,0
who said this do you have the link this is exactly what i think of obama barack obama does not care about people,-1
why have gasoline prices doubled under obama this billboard says it all tcot teaparty,-1
obama travel plans show map is wide open,0
is paid for by obama victory fund supposed to send a positive message,0
no drama vote obama hoodies at obama2012 14,0
im confident obama helps fightforjobs and will continue to fightforjobs,1
why because obama will be able to back pedal,-1
p2 obama needs a miracle and these new democrats don't believe in god no more tcot pa mn il ca ny wiunion tommyforwi va co,-1
too early to say rt so if obama doesn't do well today are y'all going to riot,0
exobama aide stunning that he's in politics because he really doesn't like people p2 tcot,-1
herald many obama supporters for brown are actually homeless people being paid to campaign,-1
seriously what kind of magic will he conjure up in order to fix what obama has broken mittens,-1
obama is going to lose tonight's debate p2 tcot,-1
can you outline specifically your gripes about bo i'm no obama apologist but he's positively churchillian in comparison,0
neverforget obama admitted to lying tiot p1 god,-1
president barack obama weighs in on mariah careynicki minaj feud president barack obama has better things to do i'm sure,0
i will be voting for mitt romney thanks,-1
just heard honey boo boo supports obama thankgoodness,0
rt rt when obama was elected president i cried &amp; so did the white guy next to,0
msm will give obama win no matter what obama will make repeated focus on 'tax returns' and '47' lnyhbt,-1
obama's investment of your money in unsustainable green jobs continues,-1
obama better not suck in the debate tonightalso i just feel like sleeping that is all,0
tired of listening to the 2 democrats in my office talk about how great obama is open your eyes before you drive the us into an iceberg,-1
obama might just lose,-1
obama picks another loser in green investment,-1
obama's policy is taxmagedon ie is intentional and insistent inaction the response will be outrage 500b,-1
i get to watch tonight's presidential debate at a volunteer center for the obama campaign,0
i wonder how much negroes would like obama if he wasn't black since they always say that ain't a factor,-1
asked who she was voting for her response obama i need my financial aid and food stamps lmfao,0
obama should legalize weed right before the end of his last term lol,0
when benghazi comes up tell obama that he'll wait while obama goes to find hillary to take the question for him romneydebatetips,-1
i don't think obama should be promoting the support of jayz it'll just make the conspiracy theorists go wild nutjobs,0
if obama had braces we would truly have a real life beavis and butthead,-1
hillary's just in on the campaign game if she honestly took responsibility she would have done so from day one drop obama,-1
i don't care if obama is black i care that he's a shitty president,-1
romneydebatetips if obama brings up gm ask whether the investors who got screwed by the bailout have sued yet,-1
i feel fabulous obama says in va per pool look at this beautiful day asked if hillary was to blame for benghazi he kept walking,-1
hope obama bring his a game 2nite presidentialdebate,1
oh no i'm shocked president obama lied about rev wright so disappointed hahahahahahaahaha,-1
the obama doctrine no leadership just bowing,-1
hillary what is it about obama that engenders this sort of fealty he's like an inept civil servant,-1
obama can't go higher than jayz,0
obama's back up plan lmfaoooo dyingshit toooo funny,-1
i'm a indep latino and i'm feeling very positive about president obama tonight i hope sensata mitt's accounts and taxes come up,1
obama will show you the way sixwordstory wrt1,0
if obama lose im packing all my shit and moving to bikini bottom fuck the bullshit,0
i'm voting for obama hahaa,0
obama's a joke,-1
i am proud to be apart of the team grass roots and youth team obama credits so much of his success on obama2012 hofstradebate,1
those things would be getting a tattoo and voting for barack obama,1
obama deserves to be on american currency,1
glad that obama isn't taking sides in this pending crisis potus weighs in on nickimariah beef firstworldproblems,0
22 was voting against obama she asked why i said the guy is clueless a liar &amp; lacks responsible tangible assets that a leader needs,-1
benghazi is about obama hiding fact that valeriej attends sec brief is making the decisions for obama he delegated amer safety,-1
obama can point us in the right direction all he can but it's ultimately up you to make the change,1
obama picks another loser in green investment,-1
obama the ultimate white man problem,0
obama secures the all important farrakhan endorsement,-1
the real message from the democrats promoting a republican war on women is that obama thinks women are dumb tcot,-1
obama needs to get drunk do coke and get dementia before tonight's debate like biden did last week p2 i agree,0
obama need to be practicing debate with ol' bully biden before he gets embarrassed again,0
its offical barrack obama gets the endorsement of honey boo boo mitt you better redneckonize,0
what 4 years brings obama in 08 on national security i will be responsible the buck will stop with me,0
so why will he not work with obama anymore,0
osama hid behind his wives in his last moments on earth obama hides behind bill's wife in is last weeks before erection scary,-1
obama2012slogans vote obama for a free puppy on a stick,-1
no comfort for obama in debate history washington post debate2012,-1
he knows the media is drooling to be able to claim an obama win and paint it as a great comeback,-1
the wizard of obama the president didn't just lose a debate he lost an entire image of genius and control,-1
president you didn't build that obama really doesn't like people thank god he likes dogs better,-1
amongst your prayers for today include president obama much prayer much power,1
so not only does obama pay women less than men but he has them take the blame for his failures lovely votolatino vote4stuff latism,-1
why is it that obama hasn't had a budget the one he proposed was voted down unanimously,-1
good morning you self loathing lesbian supporter of antigay obama can missiles shoot other missiles out of the sky yet moron,0
great idea someone should sell a comic book series of obama dispensation apropos,0
another misjudged performance by mr obama [tonight] could indeed come close to sealing his fate,0
obama lists prisoner programs as budget priority for black families only so much for no black or white red or blue eh,-1
obama is a classic fear monger a divider not very presidential tcot,-1
clint president obama is the greatest hoax ever perpetrated on the american people,-1
insight could obama's ground game clinch the election reuters,0
taliban calling obama a black devil charming people for once i agree with kristof racists,-1
only thing obama got in common with you idiots is color that's why you relate and vote for him buck,-1
obama on tonight's debate i feel fabulous look at this beautiful day pool,0
the biggest war on a woman that i've seen is obama's failure to have hillary's back,-1
it's funny that obama gave his opinion on the nicki minajmariah carey feud; hopefully his opinion will inspire them to move on,0
barack obama wrote these never before seen letters himself pushing radicals for political positions in chicago,-1
for the sake of humanity i hope barack obama is reelected in november,1
i wonder how president obama's new foreign policy strategy of blame hillary will play in the swing states,-1
why african americans are sticking with obama the plum line the washington post via,-1
twitta tried to kill me like in a videogame obama gave me unlimited continues tho,0
obama not liking people like bill gates not liking computers former aide,-1
president obama 'confident' that nicki and mariah will end feud,0
the lower class is the most important class [common sense] the obama administration is changing some rules about how people can,0
don't think for one minute that favors pres obama she has a knack of hitting hard on dems,0
maybe someone should slip barack some honey boo boo juice just to pump him up,0
taliban calling obama a black devil charming people for once i agree with kristof racists,-1
i just saw an obama bumper sticker i wanted to key their car romney,-1
my choppa name is obama it brings change when its drama,1
more liesdeceit from obama demoncrats never could do math go lo at the truthfacts explains mitt romney's 5,-1
it's good to know that while we have a crisis on our hands with 4 ppl being killed in a terrorist attack in libyaobama is busy fundraising,-1
why would any one want to vote for obama when he is taking down the american flag at most monumentsschools and such,-1
wow rt obama's weakness is turning off hispanic voters tcot tlot tiot,-1
he rebut barack obama a plan to move us forward de linkedin oo hora de llevarse del linkedin ja tardava,0
well hecknow bush can relax obama is blaming somebody else for his troubleshillary clinton,-1
david obama only has a chance for a second term if he hides his true agenda and keep us from seeing his lack of character,-1
people we can't afford to have obama in office another 4 years wake up,-1
itreal1 obama is the only president who has never been blamed for anything by the msm,-1
obama blames hillary for libya kerry for the debate and bush for everything else conservative byte via,-1
obamas playground policieseconomy romney is a liar liar pants on fire national securityromney isno fair he's not allowed to talk it,-1
obama's apprently trying to reduce dependance on foreign oil nice move,0
just saw the obama brigade on the meadowbrook hofstradebate,0
rt lol i'm not above using a woman misfortune as the butt of my jokes however obama need to be aggressive,-1
a more aggressive obama still won't make the grade david limbaugh on via,-1
obama's mouth has been zippedexcept on the view where tough questions come fromand oh yeahletterman tcot,-1
latest poll obama comfortably ahead in our state but less so than two weeks ago,0
is absolutely right it will be a nightmare for if obama is reelected,-1
looks like you are right but because the gop blocked obama's efforts,0
this is sick rt software ceo to employees if obama wins don't be surprised if i lay you off,0
a more aggressive obama still won't make the grade david limbaugh on townhall via,-1
romneydebatetips if obama brings up gm remind him how much money they owe us,-1
breaking news honey boo boo endorses barack obama the election is over folks go home,0
obama managed to get a lot done imagine what we could get done for the people wo congress full of petty partisans,1
like obamacare obama core is another power grab tcot,0
so obama should have just blindly trusted the muslim brotherhood like foxnews did yes or no the irony of this is hilarious,1
ohio coal miners condemn obamas 'absolute lies' and sherrod brown too via ohio,-1
women turn on big mistake barack via,-1
hillary may be bank shot setup obama gets asked about it tonight and says very comanderinchiefly no i take full responsibility,0
tlot tcot ucot p2b obama is a joke and anybody who votes or respect the damage he's done in 3 years is really stupid,-1
cant wait to see how stupid obama looks tonight lol,-1
the biggest reason obama supporters are hanging on fear to be honest with themselves; admitting his mistakes verifies theirs debates,-1
wkwkwk xd rt so obama you are a rusher and swifitie right get em nominations please,0
lolol and expanded unemployment 100 times over thanks obama,-1
obama foreign policy collapses mideast stability gone us economic security oil weakened buckeyes,-1
obama needs to be on defense tonight iso offense he needs to defend with facts and figures no rhetoric no bs just truth if possible,0
jokeqwhat difference between obama and his dog boabo has a papers,-1
[ president obama best choice for all americans,1
if obama lose it's gone be alot of hungry &amp; home less ppl,0
barack obama's cadillac one has 8in thick doors and is equipped with shotguns inside for defense sounds like my car,0
reppaulryan remember obama has no accomplishments to run on,-1
a democratic poll has the worst news of the week for obama by,0
obamalies rt obama claims 'we got back every dime' of bailout money on same day cbo reports 24b loss,-1
obama was only waiting for more flexibility to take some blame after the election,0
we will look back after obama loses reelection how close this country came to being destroyed for that i will never forgive the democrats,-1
look at this sweet picture and just think dictator obama has no issues with stabbing this baby in the head and killing it wakeupamerica,-1
can somebody ask obama for more details about his plan for america forward is somewhat vague debate tcot vote2012,0
articles military families are outing obama obama is murdering our military war tblfod tcot,-1
since 1948 the us has had 82 months of unemployment rate being higher than 843 of which have been with obama as president hofdebate,-1
statistic there hasnt been 1 day since obama has been president that as many people had a job as on the last day of bushs presidency,-1
the only candidate proposing tax increases in this campaign is barack obama cantafford4more tcot,-1
hahaha obama looks hilarious,0
mommy why do bad people sometimes kill our diplomats in warzones overseas because president obama hates america sweetie,-1
former clinton obama aide its stunning that hes in politics because he really doesnt like people tcot p2,-1
he's also a criminalobama is a naked emperor with a glass jaw,-1
people love to say you only voting for obama cause he is black well you only voting against him bc he is black then lol,0
he'll be awake this time rt gibbs obama will have 'exceptionally strong debate performance',-1
email to obama lost our respect when a president of the united states does nothing about 4 m dems gop tlot,-1
anyone else find it funny that obama and antichrist both start with the letter o,0
if obama doesn't win is college students can forget about filing taxes because we won't get that anymore vote obama,1
obama is boxed in only thing he has left going for him is nice guy perception yet he must go aggressive to have a chance popcorn,-1
obama needs our prayers for tonight's debate this is serious pass it on to your folks who believe that prayer works,1
you are wright americans vote for obama and biden who spends more time on vacation at your expense also his wife never useing camp david,-1
oeturner212 i just wrote a book to show the world that obama is a compete fraud thanks for the follow,-1
obama doesn't care about the security of the american people here and abroad he does care about the muslim brotherhood being in power,-1
ha ha ha obama is too humble said no one rational ever,0
president obama's abuse of executive power,-1
i bet obama is like a really cool uncle,0
cant wait to see this barack character tomorrow i hope he's a comedian mylamboisblue,-1
obama haha how f'n interesting,0
obama did poorly in the first debate so now tnr concludes that the debates shouldn't be so important,-1
taliban racists too rt taliban statement also says malala targeted 4 saying her ideal is black devil obama,0
he feels fabulous someone upped the dosage on their meds today whatever it takes obama,0
poll q do you think obama is going to make a joking reference to his poor performance in the last debate tonite i do,0
obama is the dumbest piece of shit i've ever seen moron,-1
i have a feeling that obama still has a sucker punch left in him,0
never knew victoriajackson was a gay hating right wing thinks obama is a communist loopy batshit crazy woman wow,0
this is what hillary said when she was running for pres remember shame on you barack obama meet me in oh barack obama,0
fundraising numbers show obama raising more from military than romney president obama is raising significantly,0
thingsobamavotersbelieve obama has reduced the deficit,-1
moist4life correct obama the communist snuck into the white house using the race card to deflect investigation into his past,-1
another obama stimulus failure battery maker a123 expects loan default is a loser,-1
dukemaximum this makes obama look weak having hillary take responsibility,-1
obama lied what a surprise rt despite obamas 2008 claims pol rlshp w rev wright began as early as 1987,-1
president obama i said i would end the war in iraq and i did promisekept,1
if we're going to blame obama for gas prices going from 180 to 400 can we also 'blame' him for the dow going from 9000 to 12000,1
obama just had an algore bully moment advanced on mitt turned around back to seat,0
obama acts way to white to be considered the first black president,-1
obama is a pansy,-1
well look at obama being respectful instead of whining about getting your response time growupromney,1
how rude of you obama,-1
obama on fire i got osama boom obamacare is exactly the same as romneycare boom romney is worse than bush boom,1
i almost feel sorry for obama when mitt points out unemployment debt etc it's a powerful point,-1
obama has done nothing for the last 4 years besides burying us in debt debates,-1
obama got this in the bag,1
obama is a nut debate,-1
what do you guys see in obama hes gotten us in over 10 trillion dollars in debt guess what guys we will be paying for that when were older,-1
obama what do you have planned for america if reelected ummm idk but i can tell you what i think romney cant do,-1
i see obama as a celebrity not as our president,-1
if you listen to what obama has to say you'll understand why we're all teamobama,1
obama will you answer the question asked democrats tcot,-1
obama is an amazing speaker,1
i wonder if we ever figured out if obama has a legit birth certificate,-1
obama has big ears lol,0
yesss obama is right on point hispanics givethemgreencards,1
look at obama's hairline lol,0
obama did you not sue az just a little while ago hypocrit lies debate stfu,-1
barack obama is pretty fly tho you have to admit,1
obama needs to shut up and stop interrupting rude romneyforpresident timeforachange,-1
obama's smile is heartwarming,1
wow obama is such a gentlemen not romneyryan2012,-1
our president cool as shit cause anybody else would have been ready to whoop mitt ass and cuss him out letsbereal,-1
again obama is running like he hasn't been the president for the last 4 years debate,-1
obama is such a chill person lol,1
obama hot on this topic,1
i'm so tired of obama lying,-1
obama has huge ears i never noticed,0
obama flies off to two different fund raisers the day after the libia embassy killings wow that's leadership alright,-1
obama's making things up again debate,-1
obama can say what he wants but we've all seen what he's done in the past 4 years actions speak louder than words hofstradebate,-1
bs thy name is obama,-1
obama said if he didn't turn the economy around he'd be a one term president he made it worse does america want a liar for a president,-1
in a little less than an hour and i half i will finally be old enough to not vote for obama,-1
obama needs to shut up and dye his hair,-1
oh obama wants to close loopholes good thing he waited 4 years to come up with his awesome new idea tngopdebate,-1
obama says education key to stopping violence aurora shooter was a phd student 2012,-1
obama is definitely inproved from the previous debate some more experience and he may get good enough to be elected to the senate 2012,-1
obama just said when i was president this explains a lot,-1
obama is clearly the better option,1
obama is distorting tax code in his answer,-1
obama says he wants to cut the corporate tax rate wasn't he president for the last 4 years what was the holdup,-1
obama and candy lied our ambassador died no obama didnt call benghazi act of terror in speech,-1
wanna hear a joke barack obama,-1
good job obama he really brought forth the issues and his plans to fix them he was really tackling the real economic issues teambarack,1
how could you dislike a man like obama,1
pretty clear victory for obama,1
apparently obama has the healin powers of christ debates,-1
obama believes in selfreliance hahahahahahahahaha,-1
who was it that denied enhanced security and why obama fails to answer but then he finally comes clean about what he knew at the time,-1
great job president obama vote4obama,1
president obama showed his strength tonight a lot of factually facts were stated from the president great job,1
if you dont want to vote for obama for other reasons fine but dont act like he could have supermanned the economy in four years,1
obama kept saying thats just not truewhat my president really wanted to say was nigga thats some bull shit,0
obamadidn't kill bin laden one of my brother in arms did he just happened to be president obama didn't find him soliders did,-1
this was not just obama doing what he had to do this was obama throwing down a doublepump slam dunk launched from 3 point land debate,1
obama lied here's the fact check on his promised changes as per 2008 hofstradebate fightforjobs,-1
obama save the best for last the 47 percent,1
game set and match toobama he got it; he fought back; he gave us all more than ample reason to carry on the fight,1
obama was on his a game tonight clear winner obama2012,1
obama is just a terrorist justkidding probablyisthough killedambassador seeyaobama,-1
obama saves 47 for the last two minute so that romney couldn't respond crafty debate,0
and if i hear one more person say obama killed osama i'm gonna lose my mind real heroes killed him not obama get your facts straight,-1
landslide victory for obama we saw one president for all americans on that stage tonight obama forward,1
presidentobamastruggled for weeks to offer a consistent story about the terrorist strike in benghazi debates cantafford4more,-1
obama was tyson in his prime tonight,1
obama wonthe whole thing but especially the last question debate,1
obama doubles down on his cover up i love it,-1
it is panic time in obamaville internals have to be showing romney up 610 this is reagancarter redux tcot teaparty p2,1
obama needs to learn how to speak about the question that is asked and to answer the question not repeat shit that isnt needed,-1
obama dominated that debate,1
the fact that this debate will be recapped by libya is not great for obama,-1
obama definitely secured the illegal immigrant vote,-1
obama drones on and says nothing,-1
obama gave more guns to mexican drug cartels than he did the consulate staff in benghazi so there's that,-1
tonight barack showed as he has every day as president that hell fight to ensure everyone has a fair shot at the american dream mo,1
you can combine the speaking skills of churchill reagan and lincoln and president obama could still not defend his own record,-1
weird obama came across as bitter and clingy jerk,-1
obama would be more convincing if he weren't the incumbent he keeps talking like he just started last month,-1
obama says i'm gonna do this this and this but why hasn't he done it yet what happened to doing that these past 4 years stepup debates,-1
my take on obama tonight there is nothing worse than aggressive stupidity von goethe,-1
big angryobama just came off as unnatural uneasy and uncomfortable i think it made him look sour and mean debates,-1
maybe i missed it but did presidentobama go another full debate without outlining his plan for next four years debate,-1
president obama 100 very very obvious binders of women i don't think so,0
we're a little offtopic here obama when he got caught with chinese investments,-1
so the government doesn't create jobs but it's obama's fault for not creating jobs,1
if you can not beat them then lie lie lie to the american people and hope they are to stupid to fact check and care obama,-1
me voting for obama would be like me running my head into a wall over and over and over and over,-1
i find it revealing few people even comment on much less get troubled by obama talking about hunting people down like he's a t1000,-1
